title	alias	N0	lambda	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
Der Spiegel		1220913	-0.005622358557851546	1139562			1134742	1096053	1104715	1110740	1090448	1108343	1085812	1124479	1055316	1067762	1046001	1088693	1038351	1062462	1065858	1089184	1018173	1061423	1039285	1069201	1071256	1065871	1040860	1055201	1027035	1019698	994960	1022512	986362	976293	961958	980715	937135	942730	916217	952258	903710	894270	890062	908415	852013	886067	884451	888070
sport auto		71980	-0.007672463949000285	67919			61963	65755	63436	64225	60637	62164	59268	60439	60779	57576	61198	64941	60500	61377	61281	62696	62409	53069	62169	51426	54342	53591	56987	58323	64264	51542	56843	60519	54614	51869	52206	53487	50242	44438	47971	46827	46483	43714	48274	46200	47888	48268	49811	49571
Spektrum der Wissenschaft		113804	-0.00779189722981728	102241			100877	101119	100162	99920	99911	98745	100477	97133	98935	95806	96585	94642	95714	92460	92028	93424	93831	88802	96907	91554	92125	94007	89622	86626	82707	89767	84784	83490	78766	83702	83339	90399	74490	77929	84282	78890	73374	73167	79989	73002	69058	72070	79317	72778
Vorwärts		615196	-0.008200238673999083	600113			577417	554289	546144	537874	533450	524224	521733	520849	518753	510304	507487	503840	501210	493521	488548	487294	483663	477138	472453	467825	466008	460568	484666	532855	481410	452804	455436	454903	453358	426423	420638	422638	421513	414682	412812	410576	412570	405937	406917	404023	405016	404388	402293	399428
Sonntagsblatt - evangelische Wochenzeitung für Bayern		42698	-0.010938632794944952	39476			37736	36753	36390	36287	35804	34728	34540	34171	34137	33185	32784	32783	32512	32656	31741	30998	33147	30067	29652	29379	29331	28787	30475	30599	30620	29239	29525	29324	28976	28137	28412	26923	26719	26141	26033	25618	26592	25006	24511	24069	23510	22551	22009	20798
Sieben Tage		127667	-0.006905637741306542	129606			122299	114286	96529	127430	103389	117230	105361	105503	100448	108261	101582	122870	103653	115546	110544	115505	104688	107199	99469	105863	97132	98130	95860	99237	97047	99510	107866	101537	94838	100663	96280	99441	94310	99860	93557	98955	88245	91800	91522	93492	81845	83195	77992	85282
Skipper		36421	-0.015575799561215947	28004			28317	27873	26848	30097	28490	29403	28607	28616	28747	27404	26049	26162	27176	26526	25301	24832	25218	23437	21635	22314	21327	20019	19382	20747	21483	21887	19123	18530	19838	17844	17567	17654	18698	17531	17236	17982	18507	16417	14562				18259	15294
segeln		31184	-0.0041906414334119575	35620			31146	32040	30628	30260	27765	31857	28705	29671	26874	27928	27294	28770	23939	27426	26344	26012	24996	24834	25877	26208	25013	23961	22849	25556	22432	25251	25729	24143	26694	28326	32466	27995	30015	28259	31005	31709	23548	21532	25503	28912	21687	18774	24619	26690
Selbst ist der Mann		135176	-0.012772776191815945	107867			101266	105572	104508	103913	107171	106579	103050	104592	106073	105736	108357	104199	105238	105638	102943	103796	104700	108689	110672	108471	98418	100585	94100	95921	75228	72738	69041	73955	74176	69412	76359	72803	72280	71577	71716	70433	70952	70584	66156	70900	68804	70490	67985	69131
SZENE HAMBURG		35539	-0.024060389706934984	30741			29782	28633	26520											15861	17471	16860	14819	14584	15047	15987	15766	15070	14455	15619	14496	14649	13427	13828	13606	13357	12536	13696	13530	13956	13229	12252	10491	11310	13598	11382	9572	9228	9602	9604
Surf Magazin		45151	-0.01754494053454496	35593			36084	35939	36962	35636	31605	32942	36488	34161	30363	33665	32740	28601	27039	30465	27805	31557	27024	26897	25513	26051	22635	25927	24226	26110	18924	22721	23143	23930	21703	20788	22411	23481	23590	17562	19362	21636	19450	18566						
Sporttaucher		64117	-0.0013513805171113179	61351			62325	60886	60665	61519	62253	60699	60397	61241	62117	63281	61906	61666	63067	62793	61473	62512	63142	81270	60680	61324	62247	62123	60128		61293	58143	59078	60456	61383	61014	59368	60587	61441	59236	59428	60648	60290	59484	58217	59379	59969	59063	57468	58527
Volksstimme		259920	-0.006731338619137992	250801			244549	244023	239119	235883	235639	234285	231008	228846	229066	225058	223401	219834	219666	217563	215042	212838	213231	212207	209373	207055	206278	206592	203283	200506	200056	200963	197712	195065	197474	197117	194949	192207	193615	192399	192343	189922	189948	190427	188625	186970	186356	187902	184000	181527
